eplay,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
DtYzB5Is_Obh20B_wQU7f6rgmwUOUdTuXtfpUY7n0E0.rep,Gandalfin,Overpool,1853,1934,-1,-1,3223,4781,-1
DtYzB5Is_Obh20B_wQU7f6rgmwUOUdTuXtfpUY7n0E0.rep,bsmurf,12 Hatch,2922,2177,2477,5835,9052,12516,6538
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,mustangas,12 Pool,2203,2353,4961,11464,3776,5942,-1
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,ZouLslayer(NOR),12 Hatch,2786,2987,2471,-1,-1,-1,5406
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,Frank[DUX],12 Pool,2194,2295,3204,3224,4015,5644,-1
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,terS,12 Pool,2352,2377,4597,4675,3655,5536,4099
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,BissCayne,11 Pool,2048,3068,2967,-1,4373,6466,-1
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,spling,9 Pool,1544,1892,4761,-1,6926,8506,3183
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,TomasPlay,11 Hatch,2752,2971,2294,-1,4195,5958,-1
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,Probal,9 Pool,1552,1852,4234,-1,11421,-1,3088
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,BSL-andy,Overpool,1794,1929,-1,-1,3496,5423,-1
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,Vxtory,12 Pool,2210,3222,3066,4124,-1,-1,4572
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,Probal,9 Pool,1551,1874,-1,-1,3918,5525,3194
eVLdwky-9qhNGi_1CcA_DpDrmkF-EGoRHxPRHAcb2TM.rep,Spicy,9 Hatch,2441,4596,1814,4456,9530,-1,16875
eVLdwky-9qhNGi_1CcA_DpDrmkF-EGoRHxPRHAcb2TM.rep,행복스타맨,Overpool,1847,5160,3080,4107,6513,8593,10229
f23ObAs1CdnBGAXIqRGuF3zaBWa_rP19SMu29u5eOvQ.rep,newbb,12 Hatch,2812,4557,2438,3792,-1,-1,-1
f23ObAs1CdnBGAXIqRGuF3zaBWa_rP19SMu29u5eOvQ.rep,Michael_Faraday,9 Pool,1579,3819,3651,-1,-1,-1,5444
faEeKPUd3ALwbNA39lKvqKn-Gm0C2gfIXwtnQ7yBv6I.rep,행복스타맨,7 Pool,1369,12704,4114,15106,19554,22395,19572
fJlkfnx8YE7UosRXVvSHHB_xeNCq1niSE98YSS-70Ns.rep,TomasPlay,9 Pool,1590,2072,-1,-1,3319,5347,-1
fJlkfnx8YE7UosRXVvSHHB_xeNCq1niSE98YSS-70Ns.rep,Gandalfin,9 Pool,1597,1869,-1,-1,3805,5499,3116
