file,player,build,Pylon 1,Pylon 2,Pylon 3,Pylon 4,Pylon 5,Gateway 1,Gateway 2,Gateway 3,Gateway 4,Gateway 5,Assimilator 1,Assimilator 2,Stargate 1,Stargate 2,Stargate 3,Stargate 4,Stargate 5,Forge 1,Citadel of Adun,Robotics Facility,Templar Archives,Robotics Support Bay,Photon Cannon 1,Photon Cannon 2,Photon Cannon 3,Photon Cannon 4,Photon Cannon 5,Observatory,Fleet Beacon,Arbiter Tribunal,Nexus 1,Nexus 2
eVLdwky-9qhNGi_1CcA_DpDrmkF-EGoRHxPRHAcb2TM.rep,매너있는사람,,1074,3938,6005,-1,-1,1753,-1,-1,-1,-1,2612,3560,6442,-1,-1,-1,-1,3295,-1,-1,-1,-1,4310,4728,6833,-1,-1,-1,-1,-1,-1,-1
f23ObAs1CdnBGAXIqRGuF3zaBWa_rP19SMu29u5eOvQ.rep,Chrone[MB],,1542,3260,3515,5559,5956,2093,2739,-1,-1,-1,5105,-1,-1,-1,-1,-1,-1,4219,-1,-1,-1,-1,5008,-1,-1,-1,-1,-1,-1,-1,-1,-1
f23ObAs1CdnBGAXIqRGuF3zaBWa_rP19SMu29u5eOvQ.rep,Cwt)Wave,,1181,2870,3685,6248,6355,1724,2426,-1,-1,-1,4906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
faEeKPUd3ALwbNA39lKvqKn-Gm0C2gfIXwtnQ7yBv6I.rep,Spicy,,1181,3028,6045,6133,-1,1826,2357,4174,-1,-1,5105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7050,-1
FNbpVtkAbpE3c9zbYgL0h6WG2itmQU6OVK4JJ85jgyU.rep,wbf,,1140,2693,3925,5037,5990,1824,2477,6961,-1,-1,-1,-1,-1,-1,-1,-1,-1,6457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5765,-1
FNbpVtkAbpE3c9zbYgL0h6WG2itmQU6OVK4JJ85jgyU.rep,RisedByWolves,,1110,1118,3095,3891,6155,1827,2475,-1,-1,-1,4741,-1,-1,-1,-1,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FNbpVtkAbpE3c9zbYgL0h6WG2itmQU6OVK4JJ85jgyU.rep,Cwt)Massprobe,,1159,2690,3013,4341,5986,1834,-1,-1,-1,-1,2217,2629,6624,-1,-1,-1,-1,6772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gDDZl9IgNFgAEA0l3U4LdFR4yrmvmxygWn4B-a8j6og.rep,RisedByWolves,,1142,3107,3124,4314,-1,1715,2326,-1,-1,-1,4547,-1,-1,-1,-1,-1,-1,6320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GsCS5VIrJEK_uNufSEVmly4jyLllFKZYjcVnqrgJTHY.rep,비두로기,,1270,3227,5218,-1,-1,1918,2727,-1,-1,-1,6024,-1,-1,-1,-1,-1,-1,4682,-1,-1,-1,-1,6316,-1,-1,-1,-1,-1,-1,-1,-1,-1
GsCS5VIrJEK_uNufSEVmly4jyLllFKZYjcVnqrgJTHY.rep,커닝시티도적,,968,5815,-1,-1,-1,2567,-1,-1,-1,-1,4711,6458,-1,-1,-1,-1,-1,1757,-1,-1,-1,-1,2525,3143,4067,-1,-1,-1,-1,-1,5476,-1
HEj_QWy6vlnGoyisOrwrfZ5kGoXqJioOIHP_2rTLOW0.rep,IlIIIIlllllIIII,,1239,3333,4076,5789,-1,1997,2657,-1,-1,-1,3807,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Heqjk7T97-AcCSzS8WQnOuqZ4wFhwhSd1f9oG9yq7w0.rep,Pascu1,,1146,3439,3780,4881,-1,2658,2737,-1,-1,-1,2198,-1,-1,-1,-1,-1,-1,4750,-1,-1,-1,-1,5720,5740,6427,6897,7116,-1,-1,-1,-1,-1
hJl7Sa9UEJx99Y4AN5297DnSaPXPC9EhgatyS1_oGUc.rep,비두로기,,1281,3428,5584,5629,-1,2234,2715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hJl7Sa9UEJx99Y4AN5297DnSaPXPC9EhgatyS1_oGUc.rep,코카콜라맛있다,,999,3117,4304,6404,-1,1659,2279,-1,-1,-1,5061,5149,-1,-1,-1,-1,-1,6164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,Hyyr,,1175,3545,4981,6698,-1,1736,-1,-1,-1,-1,2179,-1,4127,5698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
i63LjnOq6MUC7UaN_ATc6kfqlqHcN879x3MHaRHPme4.rep,Spicy,,1161,2981,3824,4016,6733,1826,2447,4427,4487,5043,7056,-1,-1,-1,-1,-1,-1,5108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
