file,player,build,Supply Depot 1,Supply Depot 2,Supply Depot 3,Supply Depot 4,Supply Depot 5,Barracks 1,Barracks 2,Barracks 3,Barracks 4,Barracks 5,Refinery 1,Refinery 2,Factory 1,Factory 2,Factory 3,Factory 4,Factory 5,Armory,Academy,Engineering Bay,Command Center 1,Command Center 2
VkIcHDubUz3MVT-dEI7_keAENG7Xm7mpsaQih0OPFkQ.rep,probewithadream,,1385,3365,5311,6269,-1,2081,-1,-1,-1,-1,2421,-1,3675,4539,5997,-1,-1,-1,-1,-1,-1,-1
vR55WH8NIYKy3y0jUJiObYxcVDulHypOVUwKkWsy6l8.rep,Shine-Dalgarno,,1352,3091,4854,5945,6655,2102,2642,-1,-1,-1,3798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VUgEsqfCJf_mJ-MwzfkvyIA0tT8_cG6xYObdEN-7YEw.rep,또란,,1427,1480,3829,5548,5572,2172,5560,-1,-1,-1,3508,3947,4790,4800,5271,5283,5304,-1,-1,-1,-1,-1
wFeUWGQx7IOKjnvyIQnxn_03mSpStY0BX197Vj3mwNA.rep,Gandalfin,,1846,4173,5286,6341,-1,1968,-1,-1,-1,-1,2157,-1,3340,6003,6016,6786,6798,-1,-1,-1,-1,-1
WHNqNXC3HeUzHr8DGos9dGMMAJxZijv8wht8nO5yIzM.rep,비두로기,,1309,4743,4845,5540,5949,1998,-1,-1,-1,-1,2635,-1,3948,5642,-1,-1,-1,-1,-1,-1,5168,-1
WHNqNXC3HeUzHr8DGos9dGMMAJxZijv8wht8nO5yIzM.rep,벌쳐너무약해요,,1296,3083,3099,4849,-1,2046,-1,-1,-1,-1,4614,-1,5841,6302,6396,6413,6792,-1,-1,-1,4174,-1
WSET05pL9s8M9eVTOi8W2aXXAAvD8qcLYc1AjymI51E.rep,내일은금요이이일,,1452,3981,5237,5392,-1,2158,-1,-1,-1,-1,5576,-1,-1,-1,-1,-1,-1,-1,-1,-1,3382,-1
xnBony-3DN1DqyhHLzgu5UEcNgGquh2mkfTpvDo06FQ.rep,discovision,,1343,3038,4704,5840,-1,2069,2666,-1,-1,-1,3501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
xy-s6Av9w7LvvjNx0vx0FPgwrmwtLuaC_RqZokIvUz8.rep,EastHampton,,1382,3613,4529,-1,-1,2026,-1,-1,-1,-1,2515,-1,4202,5704,6658,-1,-1,-1,-1,-1,-1,-1
Y4QPkphMJ7pjb5rGdogAUEjnRily2pNfyAM1UrxkAHo.rep,upper4,,1419,3234,4984,6423,-1,1918,2584,5425,-1,-1,3676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ytcJQcVPUo4JW8Ig43cQEm1qUJ6P6gAorYySf4hcnSo.rep,discovision,,1389,3260,5076,5988,-1,2101,2674,-1,-1,-1,4010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
YUFkytxDBEePkAqURhPVIQc2_j-yANXDTvlWly4kPqQ.rep,BSL-Johnek,,1328,3796,5496,-1,-1,2046,-1,-1,-1,-1,2273,-1,3492,4404,6371,-1,-1,-1,-1,-1,-1,-1
z4-bwsXiV3tIv5HGb3Bsxj15PknSyeM_oaa-HYilDAI.rep,또란,,1440,4022,4053,-1,-1,1877,-1,-1,-1,-1,2510,-1,4842,5436,5448,6111,-1,-1,-1,-1,-1,-1
ZIhH835Nc0ZA621-1V-cNtASkQd-A5BBer5kqoJxl04.rep,Death__yell,,1367,3354,3412,5130,7120,2044,-1,-1,-1,-1,2301,-1,3631,4368,6657,6684,-1,-1,-1,-1,-1,-1
Ztqn5-EHd9SpH4JnROI6-2XQBMc4xivk1nte4jCmlQI.rep,actofviolence,,1349,2953,4700,5247,7033,2152,2715,6005,-1,-1,3637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZuaqYdIWXoGVzIjwIfQgCQWSAI0w4kGZ3jdA80AE08I.rep,Probal,,1362,3221,4357,6597,-1,2094,2752,-1,-1,-1,3895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZY-iPP_uWidqFoQvG03J9Pd3ESR_WxbWAB8ILNAyTdM.rep,또란,,1286,1389,4393,-1,-1,2055,2068,2165,-1,-1,2489,-1,4144,4154,-1,-1,-1,-1,-1,-1,6072,-1
